Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Date,desempleado
BU27331,Arizona,MA,Bachelor,44685105%,0,73,3/1/2000,Personal Auto,Four-Door Car,579.165954,5/29/1997,TRUE
XM45289,Oregon,MA,High School or Below,55143440%,23218,71,12/30/1899,Personal Auto,Two-Door Car,447.79344,1/17/1997,FALSE
KP34198,California,MA,Bachelor,33438753%,0,92,12/30/1899,Corporate Auto,Four-Door Car,529.624084,4/9/1997,TRUE
SH90947,Arizona,MA,High School or Below,22944789%,0,62,12/30/1899,Personal Auto,Four-Door Car,313.023175,9/5/1996,FALSE
WE95729,Oregon,MA,College,367074264%,24804,104,12/30/1899,Personal Auto,SUV,593.830288,6/12/1997,TRUE
PY51963,California,MA,Bachelor,334733495%,33190,106,12/30/1899,Corporate Auto,SUV,508.8,3/19/1997,FALSE
RB69909,Nevada,MA,High School or Below,79834317%,36014,69,3/1/2000,Special Auto,Four-Door Car,173.956072,4/18/1996,TRUE
NW21079,Washington,F,Master,48793848%,67163,61,2/1/2000,Personal Auto,Two-Door Car,33.192803,11/30/1995,FALSE
FR46645,California,MA,Bachelor,42939973%,16701,113,12/30/1899,Personal Auto,Four-Door Car,831.625979,2/5/1998,TRUE
SY17488,Arizona,MA,College,71643955%,46623,91,12/30/1899,Corporate Auto,Four-Door Car,436.8,1/6/1997,FALSE
AP67935,California,MA,College,76195158%,64749,64,12/30/1899,Special Auto,Four-Door Car,302.56519,8/25/1996,TRUE
FS37417,Arizona,MA,High School or Below,39580028%,0,101,12/30/1899,Personal Auto,SUV,484.8,2/23/1997,FALSE
ML29312,Oregon,MA,High School or Below,44994933%,16969,124,2/1/2000,Personal Auto,SUV,704.768111,10/1/1997,TRUE
UB61619,Oregon,MA,Master,40595674%,11621,108,12/30/1899,Personal Auto,Four-Door Car,518.4,3/29/1997,FALSE
CD86811,Arizona,MA,Bachelor,44581134%,17622,65,1/1/2000,Personal Auto,Four-Door Car,312,9/4/1996,TRUE
RU83859,California,MA,Bachelor,81103331%,11489,105,12/30/1899,Personal Auto,Two-Door Car,504,3/15/1997,FALSE
FG63582,Oregon,MA,Bachelor,33397649%,0,94,12/30/1899,Personal Auto,Two-Door Car,863.327324,3/9/1998,TRUE
NN71951,California,MA,High School or Below,242610178%,66525,100,12/30/1899,Personal Auto,SUV,104.331355,2/9/1996,FALSE
WB37082,Arizona,MA,Bachelor,66139737%,0,63,12/30/1899,Personal Auto,Four-Door Car,676.391482,9/3/1997,TRUE
SM52139,WA,MA,College,29306935%,33663,73,12/30/1899,Personal Auto,Four-Door Car,350.4,10/12/1996,FALSE
FL82372,Oregon,MA,College,86721943%,22547,112,12/30/1899,Corporate Auto,SUV,537.6,4/17/1997,TRUE
DP45816,AZ,MA,High School or Below,116386693%,61486,97,12/30/1899,Personal Auto,Two-Door Car,465.258644,2/4/1997,FALSE
GW33762,Oregon,MA,Bachelor,68461503%,0,95,12/30/1899,Personal Auto,Two-Door Car,456,1/26/1997,TRUE
RZ33670,California,MA,College,117277765%,29879,102,12/30/1899,Personal Auto,Four-Door Car,500.254235,3/11/1997,FALSE
PY70169,Oregon,MA,High School or Below,226438348%,93011,113,12/30/1899,Personal Auto,SUV,281.451042,8/4/1996,TRUE
MO91628,Oregon,MA,Master,26144743%,65186,65,12/30/1899,Personal Auto,Two-Door Car,5.434505,11/2/1995,FALSE
HW87852,Oregon,MA,Master,24517527%,26840,64,2/1/2000,Personal Auto,Four-Door Car,307.2,8/30/1996,TRUE
HB20453,Oregon,MA,Bachelor,67812702%,0,104,1/1/2000,Personal Auto,Sports Car,982.399613,7/6/1998,FALSE
BN87372,Oregon,MA,Bachelor,49748015%,75644,65,3/1/2000,Personal Auto,Two-Door Car,467.803638,2/6/1997,TRUE
YX23800,Oregon,MA,Bachelor,85916049%,38984,73,12/30/1899,Personal Auto,Four-Door Car,350.4,10/12/1996,FALSE
DZ87709,Oregon,MA,High School or Below,55921614%,71811,71,12/30/1899,Personal Auto,Four-Door Car,29.03416,11/26/1995,TRUE
XW13033,Nevada,MA,College,80094728%,20961,67,12/30/1899,Personal Auto,Four-Door Car,321.6,9/13/1996,FALSE
SP81997,Washington,F,Master,,41275,96,12/30/1899,Personal Auto,Four-Door Car,41.122303,12/8/1995,TRUE
OM82309,California,MA,Bachelor,581665535%,61321,186,1/1/2000,Personal Auto,Luxury Car,427.63121,12/28/1996,FALSE
ZU35962,California,MA,College,80252294%,0,77,12/30/1899,Personal Auto,Two-Door Car,25.807685,11/22/1995,TRUE
VH85817,California,MA,High School or Below,57801822%,51066,74,12/30/1899,Personal Auto,Four-Door Car,787.993313,12/23/1997,FALSE
DT85712,California,MA,Doctor,41185391%,34378,102,12/30/1899,Personal Auto,SUV,489.6,2/28/1997,TRUE
YJ88573,Nevada,MA,Master,25230702%,43072,63,12/30/1899,Personal Auto,Four-Door Car,302.4,8/25/1996,FALSE
SQ19467,Oregon,MA,College,65542164%,25222,90,12/30/1899,Personal Auto,Four-Door Car,475.623251,2/14/1997,TRUE
YB66933,Washington,F,Bachelor,53827520%,77552,68,1/1/2000,Corporate Auto,Four-Door Car,45.215059,12/12/1995,FALSE
ET79815,California,MA,College,59267294%,23091,96,5/1/2000,Personal Auto,Four-Door Car,460.8,1/30/1997,TRUE
QC35222,California,MA,Bachelor,26834707%,48269,69,3/1/2000,Corporate Auto,Four-Door Car,282.151207,8/5/1996,FALSE
CJ15590,Oregon,MA,Bachelor,26951824%,32720,67,12/30/1899,Personal Auto,Four-Door Car,321.6,9/13/1996,TRUE
OI48267,California,MA,College,60470252%,20396,76,1/1/2000,Personal Auto,Four-Door Car,364.8,10/26/1996,FALSE
JY67916,Oregon,MA,College,131710128%,21513,119,1/1/2000,Personal Auto,Two-Door Car,679.827592,9/6/1997,TRUE
OW15518,Washington,F,College,159500195%,0,87,1/1/2000,Personal Auto,Two-Door Car,46.041452,12/13/1995,FALSE
CZ33664,Oregon,MA,Bachelor,25276538%,80744,63,12/30/1899,Corporate Auto,Four-Door Car,11.879037,11/8/1995,TRUE
WK30175,Oregon,MA,Bachelor,26720958%,52822,67,12/30/1899,Corporate Auto,Two-Door Car,350.529033,10/12/1996,FALSE
ON44465,California,MA,High School or Below,53132940%,0,77,1/1/2000,Personal Auto,Four-Door Car,863.3947,3/9/1998,TRUE
TV87155,Oregon,MA,Bachelor,209461925%,69738,74,1/1/2000,Personal Auto,Four-Door Car,492.127532,3/3/1997,FALSE
KH48895,AZ,MA,Master,83753539%,17780,109,12/30/1899,Personal Auto,SUV,132.588288,3/8/1996,TRUE
NZ30757,California,MA,Bachelor,48016615%,18107,62,12/30/1899,Personal Auto,Four-Door Car,297.6,8/20/1996,FALSE
RI22468,AZ,MA,Bachelor,57459433%,57740,74,3/1/2000,Personal Auto,Four-Door Car,269.905129,7/23/1996,TRUE
FZ30935,Oregon,MA,College,60661160%,32627,76,12/30/1899,Personal Auto,Two-Door Car,380.036697,11/11/1996,FALSE
UG93476,California,MA,College,80023083%,0,107,12/30/1899,Personal Auto,SUV,513.6,3/24/1997,TRUE
AB96670,California,MA,College,23939154%,0,70,12/30/1899,Personal Auto,Four-Door Car,425.266308,12/26/1996,FALSE
XK64261,Oregon,MA,Bachelor,47628179%,65795,62,1/1/2000,Corporate Auto,Two-Door Car,49.011099,12/16/1995,TRUE
EV68375,California,MA,College,43303860%,60475,107,12/30/1899,Personal Auto,Four-Door Car,513.6,3/24/1997,FALSE
UN51653,California,MA,High School or Below,94027298%,0,130,12/30/1899,Personal Auto,SUV,936,5/21/1998,TRUE
TO96662,Oregon,MA,Bachelor,69666945%,41837,88,12/30/1899,Personal Auto,Four-Door Car,142.062768,3/18/1996,FALSE
MR52087,California,MA,Bachelor,76940643%,32303,65,12/30/1899,Personal Auto,Four-Door Car,45.152521,12/12/1995,TRUE
DE75225,Oregon,MA,High School or Below,87175611%,0,117,1/1/2000,Personal Auto,SUV,561.6,5/11/1997,FALSE
EP80820,California,MA,Bachelor,59287485%,40531,74,12/30/1899,Personal Auto,Two-Door Car,30.567357,11/27/1995,TRUE
GU99037,Oregon,MA,College,24529773%,79898,62,1/1/2000,Corporate Auto,Four-Door Car,271.606799,7/25/1996,FALSE
WI57118,California,MA,College,67015717%,56398,85,12/30/1899,Personal Auto,Four-Door Car,408,12/9/1996,TRUE
GP39118,Washington,M,High School or Below,49965527%,71600,63,12/30/1899,Personal Auto,Two-Door Car,46.158117,12/13/1995,FALSE
MQ14219,AZ,MA,College,84926988%,27804,109,12/30/1899,Personal Auto,SUV,784.8,12/20/1997,TRUE
KN20603,Oregon,MA,Bachelor,77134940%,45506,66,2/1/2000,Personal Auto,Four-Door Car,316.8,9/8/1996,FALSE
SG20925,Washington,F,Master,51857976%,99428,6464,1/1/2000,Personal Auto,Four-Door Car,48.046869,12/15/1995,TRUE
JI70886,California,MA,High School or Below,72900698%,0,102,1/1/2000,Corporate Auto,SUV,489.6,2/28/1997,FALSE
VF72557,Oregon,MA,High School or Below,47729438%,20993,133,12/30/1899,Personal Auto,SUV,638.4,7/27/1997,TRUE
OX28638,AZ,MA,High School or Below,68064914%,37839,86,12/30/1899,Personal Auto,Two-Door Car,465.633954,2/4/1997,FALSE
SK55033,California,MA,Bachelor,24697813%,92711,62,12/30/1899,Personal Auto,Two-Door Car,368.400146,10/30/1996,TRUE
OO88645,California,MA,College,31039230%,74665,78,2/1/2000,Corporate Auto,Four-Door Car,236.902001,6/20/1996,FALSE
FM14335,Washington,F,College,104849154%,61108,89,12/30/1899,Personal Auto,Four-Door Car,49.451117,12/16/1995,TRUE
CW82151,California,MA,Bachelor,89027376%,46833,112,12/30/1899,Personal Auto,Sports Car,64.109663,12/31/1995,FALSE
DY22043,Oregon,MA,High School or Below,54994472%,88768,68,12/30/1899,Personal Auto,Two-Door Car,326.4,9/18/1996,TRUE
SH36774,California,MA,High School or Below,150235986%,28262,192,12/30/1899,Personal Auto,Luxury SUV,921.6,5/6/1998,FALSE
EM43724,Nevada,MA,Bachelor,25091079%,33555,63,12/30/1899,Personal Auto,Four-Door Car,101.89645,2/6/1996,TRUE
FH85960,Oregon,MA,College,312217481%,42780,113,1/1/2000,Personal Auto,Four-Door Car,542.4,4/22/1997,FALSE
XA55993,Oregon,MA,Master,31335034%,58850,78,12/30/1899,Personal Auto,Four-Door Car,143.747794,3/19/1996,TRUE
GO36627,AZ,MA,College,38374519%,21880,97,12/30/1899,Special Auto,Four-Door Car,424.077159,12/25/1996,FALSE
QH48047,Oregon,MA,College,117904962%,25251,66,12/30/1899,Personal Auto,Four-Door Car,316.8,9/8/1996,TRUE
HS28694,Washington,F,High School or Below,28298639%,25317,71,12/30/1899,Personal Auto,Two-Door Car,50.422181,12/17/1995,FALSE
UH65059,AZ,MA,High School or Below,43058083%,24188,109,12/30/1899,Personal Auto,Sports Car,523.2,4/3/1997,TRUE
FV21968,Nevada,MA,Bachelor,59739769%,41611,74,12/30/1899,Special Auto,Four-Door Car,113.801497,2/18/1996,FALSE
QA87025,Oregon,MA,Bachelor,56704424%,28406,72,1/1/2000,Personal Auto,Four-Door Car,192.87572,5/7/1996,TRUE
TQ13499,AZ,MA,College,47317493%,69833,118,12/30/1899,Personal Auto,Four-Door Car,828.662719,2/2/1998,FALSE
BU44523,AZ,MA,High School or Below,80263796%,0,74,12/30/1899,Corporate Auto,Four-Door Car,532.8,4/12/1997,TRUE
MS41162,AZ,MA,High School or Below,40229635%,0,117,12/30/1899,Personal Auto,SUV,975.107098,6/29/1998,FALSE
PU25891,Oregon,MA,High School or Below,96183109%,80536,119,12/30/1899,Special Auto,Sports Car,53.798708,12/20/1995,TRUE
LH92841,Washington,F,Bachelors,72559538%,88891,89,12/30/1899,Personal Auto,Four-Door Car,50.528355,12/17/1995,FALSE
SX26335,Oregon,MA,College,95529269%,97732,79,12/30/1899,Personal Auto,Four-Door Car,289.9122,8/12/1996,TRUE
AZ95587,AZ,F,Bachelor,103885532%,61222,89,12/30/1899,Special Auto,Four-Door Car,392.604371,11/23/1996,FALSE
DS81757,Oregon,M,College,24701212%,0,74,12/30/1899,Personal Auto,Two-Door Car,721.242206,10/18/1997,TRUE
OJ94107,AZ,M,Master,56190685%,50335,140,12/30/1899,Personal Auto,SUV,456.52385,1/26/1997,FALSE
LP84436,California,F,High School or Below,90471192%,0,127,12/30/1899,Personal Auto,Sports Car,1087.995426,10/19/1998,TRUE
FF22360,Washington,F,Doctor,26873141%,82210,68,4/1/2000,Personal Auto,Four-Door Car,51.961915,12/18/1995,FALSE
LM19287,Oregon,F,High School or Below,37315046%,0,96,12/30/1899,Personal Auto,Four-Door Car,460.8,1/30/1997,TRUE
ZU18643,Nevada,M,Bachelor,36607703%,64495,92,12/30/1899,Corporate Auto,Four-Door Car,251.992083,7/5/1996,FALSE
AZ82578,California,F,College,79288293%,0,72,12/30/1899,Corporate Auto,Four-Door Car,345.6,10/7/1996,TRUE
XC67861,Arizona,F,Bachelor,50117516%,28859,67,3/1/2000,Corporate Auto,Two-Door Car,321.6,9/13/1996,FALSE
YC43143,Arizona,F,High School or Below,79882583%,77330,99,12/30/1899,Personal Auto,Four-Door Car,99.257608,2/4/1996,TRUE
EK59571,Oregon,M,College,38854564%,0,105,12/30/1899,Corporate Auto,Four-Door Car,504,3/15/1997,FALSE
PA38372,Washington,F,High School or Below,93577378%,33060,117,12/30/1899,Personal Auto,Four-Door Car,56.731578,12/23/1995,TRUE
RO18530,Washington,M,Master,25406898%,42557,65,12/30/1899,Personal Auto,Four-Door Car,57.562324,12/24/1995,FALSE
PD27940,Arizona,M,High School or Below,48851625%,26372,126,12/30/1899,Personal Auto,SUV,604.8,6/23/1997,TRUE
BS77946,Arizona,F,Bachelor,97533071%,17514,127,12/30/1899,Personal Auto,SUV,8.312729,11/5/1995,FALSE
YM50253,California,Femal,Bachelor,29461537%,89270,74,12/30/1899,Personal Auto,Four-Door Car,316.599228,9/8/1996,TRUE
NR15332,California,M,High School or Below,25811109%,29757,65,12/30/1899,Personal Auto,Four-Door Car,312,9/4/1996,FALSE
RC62865,Oregon,M,College,35173858%,51814,92,12/30/1899,Personal Auto,Four-Door Car,56.300724,12/23/1995,TRUE
CC15295,Oregon,F,Bachelor,97433501%,24028,82,12/30/1899,Personal Auto,Four-Door Car,393.6,11/24/1996,FALSE
KA61892,Arizona,M,College,38736470%,28142,105,12/30/1899,Personal Auto,Sports Car,701.708239,9/28/1997,TRUE
OS94884,Arizona,F,Bachelor,76492820%,52705,64,1/1/2000,Personal Auto,Two-Door Car,128.705563,3/4/1996,FALSE
ND87334,California,M,High School or Below,22875969%,0,63,12/30/1899,Corporate Auto,Two-Door Car,679.368378,9/6/1997,TRUE
OY51402,Washington,F,High School or Below,82557639%,54040,103,12/30/1899,Personal Auto,SUV,59.987126,12/26/1995,FALSE
YL74911,California,F,College,87149221%,0,118,12/30/1899,Personal Auto,SUV,566.4,5/16/1997,TRUE
GK92563,Washington,F,Doctor,68192312%,22492,85,12/30/1899,Personal Auto,Two-Door Car,61.654262,12/28/1995,FALSE
HL53154,California,M,Bachelor,74161973%,0,77,2/1/2000,Personal Auto,Four-Door Car,554.4,5/4/1997,TRUE
RI78966,Oregon,M,Master,77711590%,21876,68,12/30/1899,Personal Auto,Four-Door Car,465.41477,2/4/1997,FALSE
IC13702,California,F,Bachelor,69683419%,0,69,1/1/2000,Personal Auto,Four-Door Car,496.8,3/7/1997,TRUE
BE10809,California,F,High School or Below,42502826%,0,61,1/1/2000,Personal Auto,Four-Door Car,292.8,8/15/1996,FALSE
HT87217,Oregon,F,High School or Below,197765665%,70699,82,12/30/1899,Personal Auto,Four-Door Car,256.813837,7/10/1996,TRUE
TH95618,California,F,High School or Below,213434660%,0,74,1/1/2000,Personal Auto,Four-Door Car,355.2,10/17/1996,FALSE
TS19868,California,M,College,24131397%,27501,63,12/30/1899,Personal Auto,Four-Door Car,542.319401,4/22/1997,TRUE
LP45550,Oregon,F,Doctor,153638472%,15897,101,12/30/1899,Personal Auto,Four-Door Car,303.148399,8/26/1996,FALSE
QR87004,Nevada,F,College,84569619%,25141,73,1/1/2000,Personal Auto,Four-Door Car,25.438063,11/22/1995,TRUE
OE75747,Nevada,F,College,21896425%,0,61,3/1/2000,Personal Auto,Four-Door Car,292.8,8/15/1996,FALSE
DX91392,California,M,High School or Below,57801822%,51066,74,12/30/1899,Personal Auto,Four-Door Car,787.993313,12/23/1997,TRUE
AB72731,California,F,Bachelor,46399816%,28358,117,12/30/1899,Personal Auto,Sports Car,84.024413,1/20/1996,FALSE
GX84338,Washington,F,Doctor,38244313%,62530,95,12/30/1899,Personal Auto,Four-Door Car,61.693771,12/28/1995,TRUE
IS12901,Arizona,F,Bachelor,59681189%,90972,74,12/30/1899,Personal Auto,Two-Door Car,232.926145,6/16/1996,FALSE
BN90616,Washington,F,Bachelor,85903350%,63110,72,12/30/1899,Personal Auto,Four-Door Car,68.179721,1/4/1996,TRUE
HH90090,California,F,Bachelor,40766347%,29549,104,12/30/1899,Personal Auto,Sports Car,710.433775,10/7/1997,FALSE
IU25463,California,F,Bachelor,122526018%,0,115,1/1/2000,Personal Auto,Four-Door Car,552,5/2/1997,TRUE
KC11055,Nevada,F,Bachelor,169362715%,39411,217,2/1/2000,Personal Auto,Luxury Car,1122.658899,11/23/1998,FALSE
PD33979,Oregon,M,High School or Below,48924355%,21709,62,12/30/1899,Personal Auto,Four-Door Car,408.374746,12/9/1996,TRUE
NK71023,Nevada,M,Bachelor,99423048%,67890,85,12/30/1899,Personal Auto,Four-Door Car,408,12/9/1996,FALSE
AB13432,California,M,Bachelor,37358381%,0,110,12/30/1899,Personal Auto,SUV,792,12/28/1997,TRUE
OZ97704,California,F,High School or Below,131175222%,84311,111,4/1/2000,Personal Auto,SUV,532.8,4/12/1997,FALSE
UF46533,California,F,College,45745241%,99316,114,12/30/1899,Corporate Auto,SUV,754.358929,11/20/1997,TRUE
XP47431,Arizona,F,Bachelor,54700606%,54507,138,12/30/1899,Personal Auto,SUV,702.990032,9/29/1997,FALSE
GK73582,California,F,Bachelor,29788460%,64586,76,12/30/1899,Personal Auto,Four-Door Car,206.837111,5/21/1996,TRUE
RV98763,Oregon,M,College,64109675%,61709,82,2/1/2000,Personal Auto,Four-Door Car,275.395894,7/29/1996,FALSE
II62831,California,M,Master,44790231%,94656,111,1/1/2000,Special Auto,SUV,459.738128,1/29/1997,TRUE
XK33449,California,F,High School or Below,23837319%,0,69,12/30/1899,Special Auto,Two-Door Car,496.8,3/7/1997,FALSE
TR85083,California,M,Bachelor,27644937%,61085,70,1/1/2000,Personal Auto,Two-Door Car,336,9/28/1996,TRUE
EO95328,Oregon,F,Bachelor,79201054%,89284,67,3/1/2000,Personal Auto,Two-Door Car,321.6,9/13/1996,FALSE
EN21086,Arizona,F,High School or Below,68890980%,0,63,12/30/1899,Personal Auto,Four-Door Car,302.4,8/25/1996,TRUE
YL83902,WA,F,Bachelor,32741946%,31686,81,12/30/1899,Personal Auto,Four-Door Car,430.994107,12/31/1996,FALSE
AZ62651,Oregon,M,High School or Below,99517077%,56855,255,12/30/1899,Corporate Auto,Luxury SUV,1836,11/6/2000,TRUE
ZW25874,Oregon,M,Bachelor,25215557%,53703,67,2/1/2000,Special Auto,Four-Door Car,67.632476,1/3/1996,FALSE
EH41854,WA,F,High School or Below,237061134%,0,96,1/1/2000,Personal Auto,Two-Door Car,844.481918,2/18/1998,TRUE
MW70227,California,M,College,60470252%,20396,76,1/1/2000,Personal Auto,Four-Door Car,364.8,10/26/1996,FALSE
SL22297,California,F,Master,111403025%,27679,150,12/30/1899,Personal Auto,SUV,722.486994,10/19/1997,TRUE
RV14138,Nevada,F,Bachelor,43340641%,23904,123,3/1/2000,Personal Auto,SUV,590.4,6/9/1997,FALSE
UO62808,Arizona,F,High School or Below,27997479%,65351,69,12/30/1899,Corporate Auto,Four-Door Car,481.027516,2/20/1997,TRUE
ZX64745,California,M,College,79231366%,0,113,12/30/1899,Personal Auto,SUV,1124.427734,11/25/1998,FALSE
FL34139,California,M,High School or Below,36881109%,0,63,3/1/2000,Personal Auto,Four-Door Car,669.682001,8/27/1997,TRUE
TS11219,California,M,College,120674560%,0,116,12/30/1899,Personal Auto,SUV,1284.093173,5/4/1999,FALSE
XX12304,California,F,College,29249767%,64459,72,12/30/1899,Personal Auto,Four-Door Car,240.259479,6/24/1996,TRUE
SD64087,California,M,College,150140927%,32961,190,12/30/1899,Corporate Auto,SUV,912,4/27/1998,FALSE
OY38576,Oregon,F,High School or Below,92772338%,71416,116,12/30/1899,Corporate Auto,SUV,556.8,5/6/1997,TRUE
BG76355,WA,F,Bachelor,62741239%,68964,78,12/30/1899,Personal Auto,Four-Door Car,115.086827,2/20/1996,FALSE
IP66913,Cali,M,High School or Below,38866474%,78108,98,12/30/1899,Personal Auto,Two-Door Car,470.4,2/9/1997,TRUE
LE95702,Cali,M,College,43862776%,10621,67,12/30/1899,Special Auto,Four-Door Car,321.6,9/13/1996,FALSE
KX54357,WA,M,College,113652677%,84910,95,12/30/1899,Corporate Auto,Two-Door Car,383.167471,11/14/1996,TRUE
EZ78112,Cali,Femal,High School or Below,56109643%,77493,70,12/30/1899,Special Auto,Four-Door Car,307.963291,8/30/1996,FALSE
XN16891,Arizona,M,College,29128920%,81097,74,12/30/1899,Personal Auto,Four-Door Car,355.2,10/17/1996,TRUE
XK31350,Oregon,Femal,College,69157299%,96610,85,12/30/1899,Corporate Auto,Four-Door Car,520.364752,3/31/1997,FALSE
CC30924,Oregon,M,College,62626633%,30110,159,12/30/1899,Corporate Auto,Sports Car,466.436375,2/5/1997,TRUE
